Instance name, X location, Y location, Voltage
output16, 15.33, 10.88, 3.16403e-07
FILLER_0_0_15, 15.33, 10.88, 3.16403e-07
FILLER_0_1_27, 15.33, 10.88, 3.16403e-07
_058_, 37.64, 10.88, 4.01267e-07
_062_, 37.64, 10.88, 4.01267e-07
input9, 37.64, 10.88, 4.01267e-07
output18, 37.64, 10.88, 4.01267e-07
output19, 37.64, 10.88, 4.01267e-07
output20, 37.64, 10.88, 4.01267e-07
output21, 37.64, 10.88, 4.01267e-07

